 ID  FixAcid VolAcid CitricAcid Sugar Chloride FreeSulfur TotalSulfur  Density    pH Sulphate   Alcohol Quality
  1      6.8   0.785       0.00  2.40    0.104       14.0        30.0  0.99660  3.52     0.55  10.70000   6.735
  2      9.9   0.250       0.46  1.70    0.062       26.0        42.0  0.99590  3.18     0.83  10.60000   5.092
  3      7.7   0.750       0.27  3.80    0.110       34.0        89.0  0.99664  3.24     0.45   9.30000   5.859
  4      7.2   0.655       0.03  1.80    0.078        7.0        12.0  0.99587  3.34     0.39   9.50000   5.009
  5      7.2   0.570       0.05  2.30    0.081       16.0        36.0  0.99564  3.38     0.60  10.30000   5.494
  6      7.6   0.550       0.21  2.20    0.071        7.0        28.0  0.99640  3.28     0.55   9.70000   5.018 
  7      8.8   0.270       0.39  2.00    0.100       20.0        27.0  0.99546  3.15     0.69  11.20000   5.436
  8      7.3   0.740       0.08  1.70    0.094       10.0        45.0  0.99576  3.24     0.50   9.80000   4.864
  9      6.6   0.695       0.00  2.10    0.075       12.0        56.0  0.99680  3.49     0.67   9.20000   4.905
 10      9.4   0.590       0.14  2.00    0.084       25.0        48.0  0.99810  3.14     0.56   9.70000   5.822
 11      6.4   0.570       0.14  3.90    0.070       27.0        73.0  0.99669  3.32     0.48   9.20000   4.889
 12      7.1   0.460       0.14  2.80    0.076       15.0        37.0  0.99624  3.36     0.49  10.70000   4.533
 13      8.1   0.785       0.52  2.00    0.122       37.0       153.0  0.99690  3.21     0.69   9.30000   5.656
 14     11.3   0.370       0.50  1.80    0.090       20.0        47.0  0.99734  3.15     0.57  10.50000   5.691
 15      9.0   0.400       0.43  2.40    0.068       29.0        46.0  0.99430  3.20     0.60  12.20000   5.391
 16      7.3   0.670       0.02  2.20    0.072       31.0        92.0  0.99566  3.32     0.68  11.10000   5.727
 17      8.4   0.560       0.04  2.00    0.082       10.0        22.0  0.99760  3.22     0.44   9.60000   4.338
 18     12.5   0.380       0.60  2.60    0.081       31.0        72.0  0.99960  3.10     0.73  10.50000   5.386
 19      6.9   0.450       0.11  2.40    0.043        6.0        12.0  0.99354  3.30     0.65  11.40000   6.065
 20     11.4   0.260       0.44  3.60    0.071        6.0        19.0  0.99860  3.12     0.82   9.30000   5.862
 21     11.6   0.475       0.40  1.40    0.091        6.0        28.0  0.99704  3.07     0.65  10.03333   6.102
 22      6.9   0.580       0.01  1.90    0.080       40.0        54.0  0.99683  3.40     0.73   9.70000   5.378
 23      7.5   0.610       0.26  1.90    0.073       24.0        88.0  0.99612  3.30     0.53   9.80000   4.651
 24      8.8   0.600       0.29  2.20    0.098        5.0        15.0  0.99880  3.36     0.49   9.10000   4.187
 25      9.4   0.500       0.34  3.60    0.082        5.0        14.0  0.99870  3.29     0.52  10.70000   5.947
 26      8.0   0.180       0.37  0.90    0.049       36.0       109.0  0.99007  2.89     0.44  12.70000   6.112
 27     12.7   0.600       0.65  2.30    0.063        6.0        25.0  0.99970  3.03     0.57   9.90000   4.679
 28      7.8   0.820       0.29  4.30    0.083       21.0        64.0  0.99642  3.16     0.53   9.40000   4.754
 29      5.3   0.470       0.11  2.20    0.048       16.0        89.0  0.99182  3.54     0.88  13.60000   6.578
 30      7.8   0.500       0.12  1.80    0.178        6.0        21.0  0.99600  3.28     0.87   9.80000   5.217
 31      8.6   0.490       0.29  2.00    0.110       19.0       133.0  0.99720  2.93     1.98   9.80000   5.154
 32      7.4   0.640       0.17  5.40    0.168       52.0        98.0  0.99736  3.28     0.50   9.50000   5.555
 33     12.0   0.380       0.56  2.10    0.093        6.0        24.0  0.99925  3.14     0.71  10.90000   5.391
 34      7.6   0.310       0.34  2.50    0.082       26.0        35.0  0.99356  3.22     0.59  12.50000   6.430
 35      8.5   0.470       0.27  1.90    0.058       18.0        38.0  0.99518  3.16     0.85  11.10000   6.028
 36      7.5   0.630       0.27  2.00    0.083       17.0        91.0  0.99616  3.26     0.58   9.80000   6.162
 37      7.6   0.950       0.03  2.00    0.090        7.0        20.0  0.99590  3.20     0.56   9.60000   4.987
 38      7.5   0.380       0.57  2.30    0.106        5.0        12.0  0.99605  3.36     0.55  11.40000   6.375
 39      8.4   0.310       0.29  3.10    0.194       14.0        26.0  0.99536  3.22     0.78  12.00000   6.614
 40      6.1   0.560       0.00  2.20    0.079        6.0         9.0  0.99480  3.59     0.54  11.50000   6.853
 41      6.8   0.770       0.00  1.80    0.066       34.0        52.0  0.99760  3.62     0.68   9.90000   5.518
 42      7.3   0.450       0.36  5.90    0.074       12.0        87.0  0.99780  3.33     0.83  10.50000   5.042
 43      7.3   0.520       0.32  2.10    0.070       51.0        70.0  0.99418  3.34     0.82  12.90000   6.918
 44      7.5   0.520       0.11  1.50    0.079       11.0        39.0  0.99680  3.42     0.58   9.60000   5.283
 45      7.7   0.775       0.42  1.90    0.092        8.0        86.0  0.99590  3.23     0.59   9.50000   4.888
 46      7.3   0.390       0.31  2.40    0.074        9.0        46.0  0.99620  3.41     0.54   9.40000   5.423
 47      7.2   0.610       0.08  4.00    0.082       26.0       108.0  0.99641  3.25     0.51   9.40000   5.455
 48      5.9   0.610       0.08  2.10    0.071       16.0        24.0  0.99376  3.56     0.77  11.10000   5.953
 49      7.6   0.510       0.24  2.40    0.091        8.0        38.0  0.99800  3.47     0.66   9.60000   6.325
